Obs	year	c	p	w	i	x	wp	g	t	k	wsum	date	y	yr	klag	plag	xlag
1	1921	41.9	12.4	25.5	-0.2	45.6	2.7	3.9	7.7	182.6	28.2	1921	37.9	-10	182.8	12.7	44.9
2	1922	45	16.9	29.3	1.9	50.1	2.9	3.2	3.9	184.5	32.2	1922	46.2	-9	182.6	12.4	45.6
3	1923	49.2	18.4	34.1	5.2	57.2	2.9	2.8	4.7	189.7	37	1923	52.5	-8	184.5	16.9	50.1
4	1924	50.6	19.4	33.9	3	57.1	3.1	3.5	3.8	192.7	37	1924	53.3	-7	189.7	18.4	57.2
5	1925	52.6	20.1	35.4	5.1	61	3.2	3.3	5.5	197.8	38.6	1925	55.5	-6	192.7	19.4	57.1
6	1926	55.1	19.6	37.4	5.6	64	3.3	3.3	7	203.4	40.7	1926	57	-5	197.8	20.1	61
7	1927	56.2	19.8	37.9	4.2	64.4	3.6	4	6.7	207.6	41.5	1927	57.7	-4	203.4	19.6	64
8	1928	57.3	21.1	39.2	3	64.5	3.7	4.2	4.2	210.6	42.9	1928	60.3	-3	207.6	19.8	64.4
9	1929	57.8	21.7	41.3	5.1	67	4	4.1	4	215.7	45.3	1929	63	-2	210.6	21.1	64.5
10	1930	55	15.6	37.9	1	61.2	4.2	5.2	7.7	216.7	42.1	1930	53.5	-1	215.7	21.7	67
11	1931	50.9	11.4	34.5	-3.4	53.4	4.8	5.9	7.5	213.3	39.3	1931	45.9	0	216.7	15.6	61.2
12	1932	45.6	7	29	-6.2	44.3	5.3	4.9	8.3	207.1	34.3	1932	36	1	213.3	11.4	53.4
13	1933	46.5	11.2	28.5	-5.1	45.1	5.6	3.7	5.4	202	34.1	1933	39.7	2	207.1	7	44.3
14	1934	48.7	12.3	30.6	-3	49.7	6	4	6.8	199	36.6	1934	42.9	3	202	11.2	45.1
15	1935	51.3	14	33.2	-1.3	54.4	6.1	4.4	7.2	197.7	39.3	1935	47.2	4	199	12.3	49.7
16	1936	57.7	17.6	36.8	2.1	62.7	7.4	2.9	8.3	199.8	44.2	1936	54.4	5	197.7	14	54.4
17	1937	58.7	17.3	41	2	65	6.7	4.3	6.7	201.8	47.7	1937	58.3	6	199.8	17.6	62.7
18	1938	57.5	15.3	38.2	-1.9	60.9	7.7	5.3	7.4	199.9	45.9	1938	53.5	7	201.8	17.3	65
19	1939	61.6	19	41.6	1.3	69.5	7.8	6.6	8.9	201.2	49.4	1939	60.6	8	199.9	15.3	60.9
20	1940	65	21.1	45	3.3	75.7	8	7.4	9.6	204.5	53	1940	66.1	9	201.2	19	69.5
21	1941	69.7	23.5	53.3	4.9	88.4	8.5	13.8	11.6	209.4	61.8	1941	76.8	10	204.5	21.1	75.7
22	1942	. 	. 	. 	. 	. 	8.5	13.8	11.6	. 	. 	1942	. 	11	209.4	23.5	88.4
23	1943	. 	. 	. 	. 	. 	8.5	13.8	12.6	. 	. 	1943	. 	12	. 	. 	. 
24	1944	. 	. 	. 	. 	. 	8.5	13.8	11.6	. 	. 	1944	. 	13	. 	. 	. 
25	1945	. 	. 	. 	. 	. 	8.5	13.8	11.6	. 	. 	1945	. 	14	. 	. 	. 
26	1946	. 	. 	. 	. 	. 	8.5	13.8	11.6	. 	. 	1946	. 	15	. 	. 	. 
27	1947	. 	. 	. 	. 	. 	8.5	13.8	11.6	. 	. 	1947	. 	16	. 	. 	. 
